player_division,player_number,player_score,player_rating,slot
10UG,142,34,3.7777777777777777,0
10UG,245,11,1.2222222222222223,0
10UG,132,35,3.888888888888889,0
10UG,242,35,3.888888888888889,0
10UG,310,21,2.333333333333333,0
10UG,140,45,5.0,0
10UG,110,33,3.6666666666666665,0
10UG,111,31,3.4444444444444446,0
10UG,114,21,2.333333333333333,0
10UG,107,20,2.2222222222222223,0
10UG,105,30,3.333333333333333,1
10UG,113,14,1.5555555555555556,1
10UG,119,32,3.555555555555556,1
10UG,101,36,4.0,1
10UG,309,18,2.0,1
10UG,307,39,4.333333333333333,1
10UG,143,23,2.555555555555556,1
10UG,112,28,3.111111111111111,1
10UG,129,17,1.8888888888888888,1
10UG,130,45,5.0,1
10UG,249,43,4.777777777777778,2
10UG,251,17,1.8888888888888888,2
10UG,104,32,3.555555555555556,2
10UG,103,35,3.888888888888889,2
10UG,313,31,3.4444444444444446,2
10UG,314,22,2.4444444444444446,2
10UG,109,38,4.222222222222222,2
10UG,305,23,2.555555555555556,2
10UG,128,23,2.555555555555556,2
10UG,246,20,2.2222222222222223,2
10UG,137,24,2.6666666666666665,3
10UG,134,31,3.4444444444444446,3
10UG,117,12,1.3333333333333333,3
10UG,311,18,2.0,3
10UG,141,33,3.6666666666666665,3
10UG,244,29,3.2222222222222223,3
10UG,135,28,3.111111111111111,3
10UG,131,42,4.666666666666667,3
10UG,312,33,3.6666666666666665,3
10UG,121,36,4.0,3
10UG,146,42,4.666666666666667,4
10UG,250,19,2.111111111111111,4
10UG,144,20,2.2222222222222223,4
10UG,106,22,2.4444444444444446,4
10UG,308,30,3.333333333333333,4
10UG,136,28,3.111111111111111,4
10UG,139,32,3.555555555555556,4
10UG,145,44,4.888888888888889,4
10UG,149,22,2.4444444444444446,4
10UG,243,29,3.2222222222222223,4
10UG,124,35,3.888888888888889,5
10UG,248,19,2.111111111111111,5
10UG,120,38,4.222222222222222,5
10UG,306,28,3.111111111111111,5
10UG,148,33,3.6666666666666665,5
10UG,147,23,2.555555555555556,5
10UG,126,26,2.888888888888889,5
10UG,133,33,3.6666666666666665,5
10UG,108,30,3.333333333333333,5
10UG,127,25,2.7777777777777777,5
10UG,123,35,3.888888888888889,6
10UG,118,35,3.888888888888889,6
10UG,115,32,3.555555555555556,6
10UG,125,26,2.888888888888889,6
10UG,138,22,2.4444444444444446,6
10UG,102,26,2.888888888888889,6
10UG,122,36,4.0,6
10UG,100,32,3.555555555555556,6
10UG,116,19,2.111111111111111,6
10UG,247,19,2.111111111111111,6
