player_division,player_number,player_score,player_rating
12UG,161,23,2.5555555555555554
12UG,162,16,1.7777777777777777
12UG,163,30,3.3333333333333335
12UG,164,29,3.2222222222222223
12UG,165,31,3.4444444444444446
12UG,166,12,1.3333333333333333
12UG,167,29,3.2222222222222223
12UG,168,40,4.444444444444445
12UG,169,23,2.5555555555555554
12UG,170,31,3.4444444444444446
12UG,171,23,2.5555555555555554
12UG,172,21,2.3333333333333335
12UG,173,30,3.3333333333333335
12UG,174,33,3.6666666666666665
12UG,175,24,2.6666666666666665
12UG,176,13,1.4444444444444444
12UG,177,29,3.2222222222222223
12UG,178,32,3.5555555555555554
12UG,179,22,2.4444444444444446
12UG,180,21,2.3333333333333335
12UG,181,31,3.4444444444444446
12UG,182,27,3.0
12UG,183,14,1.5555555555555556
12UG,184,41,4.555555555555555
12UG,185,29,3.2222222222222223
12UG,186,22,2.4444444444444446
12UG,187,29,3.2222222222222223
12UG,188,26,2.888888888888889
12UG,189,10,1.1111111111111112
12UG,190,43,4.777777777777778
12UG,191,40,4.444444444444445
12UG,192,42,4.666666666666667
12UG,193,25,2.7777777777777777
12UG,252,27,3.0
12UG,253,32,3.5555555555555554
12UG,254,36,4.0
12UG,255,29,3.2777777777777777
12UG,256,30,3.388888888888889
12UG,257,25,2.7777777777777777
12UG,258,32,3.5555555555555554
12UG,259,23,2.611111111111111
12UG,260,26,2.888888888888889
12UG,261,26,2.888888888888889
12UG,262,18,2.0
12UG,283,33,3.7222222222222223
12UG,284,21,2.3333333333333335
12UG,285,26,2.888888888888889
12UG,286,30,3.3333333333333335
12UG,287,38,4.277777777777778
12UG,288,33,3.6666666666666665
12UG,289,39,4.333333333333333
12UG,290,22,2.5
12UG,291,23,2.5555555555555554
12UG,292,19,2.1666666666666665
12UG,293,35,3.888888888888889
12UG,349,26,2.888888888888889
12UG,350,10,1.1111111111111112
12UG,351,12,1.3333333333333333
12UG,352,13,1.4444444444444444
12UG,353,21,2.3333333333333335
12UG,354,20,2.2222222222222223
12UG,355,20,2.2222222222222223
12UG,356,19,2.111111111111111
12UG,357,20,2.2222222222222223
12UG,358,25,2.7777777777777777
