,player_number,player_division,player_score,slot#
0,1028,DIV1,0.44,0
1,1015,DIV1,0.43,1
2,1013,DIV1,0.43,2
3,1027,DIV1,0.4,3
4,1003,DIV1,0.38,4
5,1045,DIV1,0.38,5
6,1004,DIV1,0.37,6
7,1017,DIV1,0.36,7
8,1020,DIV1,0.13,0
9,1033,DIV1,0.13,1
10,1023,DIV1,0.12,2
11,1010,DIV1,0.12,3
12,1056,DIV1,0.12,4
13,1056,DIV1,0.11,5
14,1041,DIV1,0.1,6
15,1048,DIV1,0.09,7
16,1029,DIV1,0.21,4
17,1001,DIV1,0.14,3
18,1002,DIV1,0.33,2
19,1015,DIV1,0.16,3
20,1001,DIV1,0.24,5
21,1050,DIV1,0.24,0
22,1011,DIV1,0.27,6
23,1039,DIV1,0.35,3
24,1037,DIV1,0.25,4
25,1040,DIV1,0.24,3
26,1043,DIV1,0.15,5
27,1017,DIV1,0.25,0
28,1034,DIV1,0.33,2
29,1010,DIV1,0.35,3
30,1055,DIV1,0.2,6
31,1032,DIV1,0.14,5
32,1016,DIV1,0.3,5
33,1019,DIV1,0.15,0
34,1009,DIV1,0.35,0
35,1026,DIV1,0.33,1
36,1051,DIV1,0.21,1
37,1051,DIV1,0.34,6
38,1009,DIV1,0.26,3
39,1017,DIV1,0.26,5
40,1041,DIV1,0.26,3
41,1038,DIV1,0.16,1
